59.3134914,18.0820674,0
59.3134914,18.0820674,30
59.3134914,18.0820674,60
59.3134914,18.0820674,90
59.3134914,18.0820674,120
59.3134914,18.0820674,150
59.3134914,18.0820674,180
59.3134914,18.0820674,210
59.3134914,18.0820674,240
59.3134914,18.0820674,270
59.3134914,18.0820674,300
59.3134914,18.0820674,330
59.3134914,18.0820674,360
59.3134914,18.0820674,390
59.3134914,18.0820674,420
59.3134914,18.0820674,450
59.3134914,18.0820674,480
59.3134914,18.0820674,510
59.3134914,18.0820674,540
59.3134914,18.0820674,570
59.3134914,18.0820674,600
59.3134914,18.0820674,630
59.3134914,18.0820674,660
59.3134914,18.0820674,690
59.3134914,18.0820674,720
59.3134914,18.0820674,750
59.3134914,18.0820674,780
59.3134914,18.0820674,810
59.3134914,18.0820674,840
59.3134914,18.0820674,870
59.3134914,18.0820674,900
59.3134914,18.0820674,930
